ProductID,ProductName
0,Raclette Courdavault
1,Camembert Pierrot
2,Guaraná Fantástica
3,Gorgonzola Telino
4,Gnocchi di nonna Alice
5,Tarte au sucre
6,Jack's New England Clam Chowder
7,Rhönbräu Klosterbier
8,Chang
9,Pavlova
10,Fløtemysost
11,Boston Crab Meat
12,Konbu
13,Outback Lager
14,Sir Rodney's Scones
15,Manjimup Dried Apples
16,Lakkalikööri
17,Original Frankfurter grüne Soße
18,Chai
19,Queso Cabrales
20,Mozzarella di Giovanni
21,Alice Mutton
22,Teatime Chocolate Biscuits
23,Steeleye Stout
24,Tourtière
25,Scottish Longbreads
26,Pâté chinois
27,Rössle Sauerkraut
28,Ikura
29,Louisiana Fiery Hot Pepper Sauce
30,Thüringer Rostbratwurst
31,Nord-Ost Matjeshering
32,Geitost
33,Gumbär Gummibärchen
34,Inlagd Sill
35,Gudbrandsdalsost
36,Chartreuse verte
37,Wimmers gute Semmelknödel
38,Perth Pasties
39,Singaporean Hokkien Fried Mee
40,Filo Mix
41,Uncle Bob's Organic Dried Pears
42,Ipoh Coffee
43,Carnarvon Tigers
44,Spegesild
45,Côte de Blaye
46,Sirop d'érable
47,Gula Malacca
48,Ravioli Angelo
49,Tofu
50,Zaanse koeken
51,Maxilaku
52,Chef Anton's Cajun Seasoning
53,Tunnbröd
54,Sasquatch Ale
55,Escargots de Bourgogne
56,NuNuCa Nuß-Nougat-Creme
57,Vegie-spread
58,Sir Rodney's Marmalade
59,Mascarpone Fabioli
60,Røgede sild
61,Queso Manchego La Pastora
62,Gustaf's Knäckebröd
63,Röd Kaviar
64,Longlife Tofu
65,Northwoods Cranberry Sauce
66,Aniseed Syrup
67,Grandma's Boysenberry Spread
68,Laughing Lumberjack Lager
69,Chef Anton's Gumbo Mix
70,Valkoinen suklaa
71,Schoggi Schokolade
72,Louisiana Hot Spiced Okra
73,Chocolade
74,Genen Shouyu
75,Gravad lax
76,Mishi Kobe Niku
