product_id,aisle_id,department_id
1,61,19
2,104,13
3,94,7
4,38,1
5,5,13
6,11,11
7,98,7
8,116,1
9,120,16
10,115,7
11,31,7
12,119,1
13,11,11
14,74,17
15,56,18
16,103,19
17,35,12
18,79,1
19,63,9
20,98,7
21,40,8
22,20,11
23,49,12
24,47,11
25,3,19
26,41,8
27,127,11
28,121,14
29,81,15
30,38,1
31,123,4
32,107,19
33,131,9
34,121,14
35,106,12
36,38,1
37,69,15
38,100,21
39,64,7
40,106,12
41,78,19
42,47,11
43,123,4
44,115,7
45,83,4
46,58,1
47,66,6
48,87,17
49,14,20
50,105,13
51,22,11
52,134,5
53,98,7
54,41,8
55,22,11
56,23,19
57,111,17
58,128,3
59,50,19
60,9,9
61,69,15
62,96,20
63,92,18
64,92,18
65,89,13
66,123,4
67,88,13
68,130,14
69,26,7
70,66,6
71,111,17
72,100,21
73,77,7
74,14,20
75,65,11
76,12,9
77,3,19
78,61,19
79,95,15
80,19,13
81,38,1
82,98,7
83,128,3
84,7,12
85,96,20
86,6,2
87,94,7
88,47,11
89,123,4
90,121,14
91,47,11
92,40,8
93,23,19
94,92,18
95,66,6
96,97,13
97,94,7
98,2,16
99,83,4
100,38,1
101,112,3
102,61,19
103,78,19
104,69,15
105,10,17
106,92,18
107,51,13
108,112,3
109,13,20
110,100,21
111,75,17
112,51,13
113,70,11
114,69,15
115,50,19
116,93,3
117,2,16
118,34,1
119,62,5
120,123,4
121,21,16
122,29,13
123,19,13
124,45,19
125,118,11
126,4,9
127,108,16
128,116,1
129,69,15
130,37,1
131,93,3
132,120,16
133,109,11
134,75,17
135,103,19
136,45,19
137,91,16
138,96,20
139,131,9
140,107,19
141,107,19
142,123,4
143,24,4
144,104,13
145,78,19
146,70,11
147,67,20
148,24,4
149,88,13
150,134,5
151,132,11
152,25,11
153,75,17
154,129,1
155,58,1
156,46,19
157,16,4
158,96,20
159,47,11
160,97,13
161,66,6
162,52,1
163,89,13
164,3,19
165,12,9
166,107,19
167,77,7
168,17,13
169,21,16
170,47,11
171,5,13
172,61,19
173,4,9
174,73,11
175,122,12
176,96,20
177,94,7
178,42,1
179,131,9
180,107,19
181,59,15
182,126,11
183,3,19
184,45,19
185,38,1
186,74,17
187,95,15
188,67,20
189,112,3
190,69,15
191,9,9
192,33,6
193,98,7
194,122,12
195,108,16
196,77,7
197,26,7
198,67,20
199,16,4
200,126,11
201,38,1
202,38,1
203,11,11
204,75,17
205,3,19
206,38,1
207,45,19
208,91,16
209,1,20
210,9,9
211,130,14
212,107,19
213,107,19
214,22,11
215,66,6
216,130,14
217,108,16
218,8,3
219,82,18
220,118,11
221,31,7
222,121,14
223,115,7
224,114,17
225,107,19
226,21,16
227,45,19
228,69,15
229,109,11
230,77,7
231,49,12
232,37,1
233,94,7
234,124,5
235,105,13
236,40,8
237,94,7
238,121,14
239,107,19
240,104,13
241,38,1
242,45,19
243,5,13
244,9,9
245,93,3
246,75,17
247,107,19
248,117,19
249,62,5
250,79,1
251,47,11
252,121,14
253,31,7
254,72,13
255,11,11
256,50,19
257,77,7
258,38,1
259,95,15
260,24,4
261,38,1
262,110,13
263,97,13
264,120,16
265,85,17
266,64,7
267,37,1
268,114,17
269,79,1
270,85,17
271,38,1
272,47,11
273,107,19
274,87,17
275,103,19
276,37,1
277,77,7
278,4,9
279,94,7
280,73,11
281,94,7
282,40,8
283,131,9
284,9,9
285,61,19
286,89,13
287,96,20
288,130,14
289,98,7
290,31,7
291,20,11
292,44,11
293,41,8
294,78,19
295,70,11
296,127,11
297,100,21
298,94,7
299,98,7
300,17,13
301,47,11
302,40,8
303,45,19
304,117,19
305,29,13
306,83,4
307,21,16
308,22,11
309,92,18
310,78,19
311,52,1
312,83,4
313,37,1
314,20,11
315,89,13
316,80,11
317,112,3
318,101,17
319,116,1
320,25,11
321,47,11
322,79,1
